Gen,Age,Dept,Desig,Exp,ICT1,ICT 2,ICT 3,ICT4,ICT5,ICT6,ICT 7,ICT 8,ICT 9,ICT10,AIS 1,AIS2,AIS3,AIS 4,AIS5,AIS6,AIS 7,AIS8,AIS9,AIS 10,DSE 1,DSE2,DSE 3,DSE 4,DSE5,DSE6,DSE7,DSE8,DSE9,DSE 10,DSE 11,SDL 1,SDL2,SDL3,SDL4,SDL5
2,2,1,2,2,2,3,4,3,4,2,4,4,4,2,4,4,5,4,5,4,4,5,4,4,4,2,5,5,5,4,4,5,4,3,5,4,4,3,4,4
2,3,2,3,3,2,5,4,5,4,4,5,5,5,5,3,4,3,4,5,4,4,4,3,4,4,4,4,5,4,4,3,2,4,4,5,2,4,4,4,4
1,3,2,3,3,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4
1,2,4,2,2,4,3,4,3,4,4,5,5,5,4,3,3,3,5,3,3,3,2,3,4,4,4,5,4,2,5,4,4,3,4,3,4,4,4,4,4
2,3,4,3,3,3,3,4,3,4,4,3,2,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,5,5,4,4,5,3,4,3,4,5,4,4
1,2,6,1,1,4,4,5,4,5,5,4,3,4,5,5,5,4,5,4,4,4,4,5,3,4,4,5,4,3,5,4,4,4,2,4,3,5,4,3,4
2,3,1,3,3,5,3,4,3,4,4,5,5,5,4,4,5,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,4,4,3,5,2,4,4,4,4
1,2,2,2,2,5,3,4,3,4,3,4,5,4,2,3,3,3,5,3,4,5,2,3,3,4,5,4,4,4,5,4,3,5,4,4,2,3,3,3,4
1,2,3,1,2,5,4,5,4,5,3,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,5,4,5,5,5,5
2,2,2,2,2,3,2,3,2,3,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,4,3,2,4,2,3,3,3,3
2,2,4,2,2,3,3,3,3,3,4,5,4,3,5,4,4,3,4,3,3,4,3,4,4,4,4,5,4,4,4,4,4,4,3,3,2,4,4,4,4
2,3,4,2,3,4,4,4,4,4,4,5,5,5,2,4,4,5,5,5,5,4,4,4,4,5,4,5,4,5,5,4,5,4,3,4,4,5,5,4,5
2,6,1,4,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5
1,2,1,2,2,5,5,4,5,4,4,5,3,3,5,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,4,4,4,4,4
1,2,3,2,2,4,5,4,5,4,4,4,5,5,4,4,3,4,3,3,4,4,3,4,3,3,3,5,5,3,3,4,3,4,5,5,5,4,4,3,3
2,2,1,1,1,2,2,3,2,3,4,4,3,5,2,5,5,4,3,5,5,3,4,5,2,5,5,5,5,3,3,3,2,3,2,5,5,4,3,2,5
1,3,4,2,3,3,4,4,4,4,5,5,5,5,4,4,4,4,5,4,5,3,3,4,4,5,4,5,5,5,5,4,5,3,4,4,3,5,4,4,5
2,4,4,4,4,3,3,3,3,3,3,4,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,3,4,2,4,4,4,4
1,4,1,4,4,1,3,2,3,2,1,5,4,4,1,3,4,3,3,2,3,2,2,3,3,4,2,5,5,2,3,2,3,2,4,5,4,4,4,3,4
1,2,1,2,2,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,5,4,3,4,5,5,5,5,5
2,3,1,2,3,4,4,4,4,4,2,4,3,4,3,4,4,5,4,5,4,5,5,4,4,4,2,5,5,5,4,4,4,5,4,4,4,4,3,4,4
2,2,2,2,2,4,3,4,3,4,4,5,4,5,3,3,4,3,4,5,4,3,4,3,4,4,4,5,5,4,4,3,4,3,5,3,5,4,4,4,4
1,4,3,4,4,5,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,4
2,2,2,2,2,3,3,4,3,4,4,5,5,5,5,3,3,3,5,3,3,5,3,3,4,4,4,5,5,2,5,4,4,5,3,4,4,4,4,4,4
2,2,3,1,2,4,2,4,2,4,4,4,4,4,3,4,4,4,5,4,4,5,4,4,4,4,5,5,4,5,5,4,5,5,3,4,5,4,5,4,4
1,3,3,2,3,4,5,5,5,5,5,4,3,5,5,5,5,4,5,4,4,4,4,5,3,4,4,4,4,3,5,4,4,4,4,4,3,5,4,3,4
2,2,1,1,2,4,5,4,5,4,4,5,5,5,5,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4
1,2,2,2,2,4,3,4,3,4,3,5,5,5,4,3,3,3,5,3,4,3,3,3,3,4,5,4,5,4,5,4,4,3,5,3,4,3,3,3,4
1,3,1,2,3,3,3,5,3,5,3,4,4,4,3,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5
2,2,1,2,2,3,2,3,2,3,3,5,5,4,1,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,4,3,3,4,5,3,3,3,3
2,2,4,1,2,4,4,3,4,3,4,5,5,5,4,4,4,3,4,3,3,5,4,4,4,4,4,5,4,4,4,4,5,5,2,5,3,4,4,4,4
2,2,3,1,2,4,2,4,2,4,4,5,5,5,3,4,4,5,5,5,5,5,5,4,4,5,4,4,5,5,5,4,5,5,4,4,2,5,5,4,5
2,2,1,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,5,5,5
2,4,2,3,4,4,5,4,5,4,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4
1,2,2,2,2,2,4,4,4,4,4,5,4,5,2,4,3,4,3,3,4,4,3,4,3,3,3,5,5,3,3,4,4,4,4,5,3,4,4,3,3
2,3,1,3,3,3,4,3,4,3,4,4,4,5,3,5,5,4,3,5,5,4,5,5,2,5,5,4,5,3,3,3,3,4,3,4,4,4,3,2,5
1,2,3,1,2,5,5,4,5,4,5,5,4,4,5,4,4,4,5,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,4,4,5,4,4,5
1,3,1,3,3,5,3,3,3,3,3,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,4,3,3,4,4,4,4,4
1,3,4,2,3,3,1,2,1,2,1,5,5,5,1,3,4,3,3,2,3,3,3,3,3,4,2,5,5,2,3,2,3,3,4,4,2,4,4,3,4
2,2,3,1,1,5,3,5,3,5,5,5,5,3,3,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,4,3,4,4,5,5,5,5
1,2,3,1,1,3,2,4,2,4,2,5,5,5,2,4,4,5,4,5,4,4,4,4,4,4,2,5,4,5,4,4,4,4,3,3,4,4,3,4,4
2,4,5,4,4,4,4,4,4,4,4,5,5,5,4,3,4,3,4,5,4,5,3,3,4,4,4,5,4,4,4,3,3,5,4,4,2,4,4,4,4
2,3,4,3,3,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,4,4,4
1,2,4,2,2,5,5,4,5,4,4,4,2,3,4,3,3,3,5,3,3,2,3,3,4,4,4,4,4,2,5,4,4,2,3,5,3,4,4,4,4
2,2,3,1,2,5,5,4,5,4,4,4,5,5,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,5,5,4,5,5,2,4,3,4,5,4,4
2,4,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,5,3,4,4,5,5,3,5,4,4,3,3,3,3,5,4,3,4
2,4,4,3,4,5,5,4,5,4,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,4,5,3,4,4,4,4
1,3,1,3,3,5,4,4,4,4,3,4,5,5,2,3,3,3,5,3,4,5,4,3,3,4,5,5,5,4,5,4,4,5,3,3,4,3,3,3,4
1,6,5,4,5,4,4,5,4,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,5,5,5,5
2,2,2,2,2,3,2,3,2,3,3,3,4,2,2,3,3,3,3,3,3,5,2,3,3,3,3,5,4,3,3,3,2,5,3,4,3,3,3,3,3
2,2,3,2,2,4,3,3,3,3,4,5,5,5,4,4,4,3,4,3,3,4,4,4,4,4,4,5,4,4,4,4,5,4,2,4,4,4,4,4,4
1,4,1,3,4,5,5,4,5,4,4,4,5,5,4,4,4,5,5,5,5,4,5,4,4,5,4,5,4,5,5,4,5,4,4,3,4,5,5,4,5
2,2,4,1,2,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5
2,4,1,4,4,3,2,4,2,4,4,5,4,4,3,4,4,4,5,4,4,5,3,4,4,4,4,4,4,5,5,5,4,5,3,4,4,4,4,4,4
2,2,6,1,2,5,4,4,4,4,4,5,5,5,4,4,3,4,3,3,4,3,4,4,3,3,3,5,4,3,3,4,5,3,5,3,3,4,4,3,3
1,4,1,3,4,4,3,3,3,3,4,4,3,4,4,5,5,4,3,5,5,4,4,5,2,5,5,4,5,3,3,3,4,4,2,4,3,4,3,2,5
2,2,1,2,2,4,5,4,5,4,5,4,4,3,4,4,4,4,5,4,5,5,4,4,4,5,4,5,5,5,5,4,4,5,3,4,4,5,4,4,5
2,3,2,3,3,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,4,4,3,2,4,4,4,4
2,3,2,3,3,1,1,2,1,2,1,5,5,5,2,3,4,3,3,2,3,1,3,3,3,4,2,4,4,2,3,2,3,1,5,4,4,4,4,3,4
1,2,4,2,2,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,4,3,4,5,5,5,5
1,3,4,3,3,3,4,4,4,4,2,4,4,5,3,4,4,5,4,5,4,3,4,4,4,4,2,4,5,5,4,4,5,3,3,5,3,4,3,4,4
1,2,6,1,1,4,4,4,4,4,4,5,5,5,4,3,4,3,4,5,4,4,5,3,4,4,4,5,4,4,4,3,4,4,2,4,3,4,4,4,4
2,3,1,3,3,5,5,4,5,4,4,4,4,5,1,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,3,3,3,5,2,4,4,4,4
2,2,2,2,2,5,5,4,5,4,4,4,4,3,4,3,3,3,5,3,3,4,3,3,4,4,4,4,4,2,5,4,3,4,4,5,2,4,4,4,4
2,2,3,1,2,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,4,4,5,5,4,5,5,4,4,5,3,5,4,4,5,4,4
1,2,2,2,2,4,5,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,5,5,3,4,4,4,5,3,5,4,4,4,2,4,2,5,4,3,4
2,2,4,2,2,3,4,4,4,4,4,5,5,5,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,4,5,4,5,3,5,2,4,4,4,4
2,3,4,2,3,3,5,4,5,4,3,4,5,5,4,3,3,3,5,3,4,4,3,3,3,4,5,5,4,4,5,4,5,4,3,4,4,3,3,3,4
2,6,1,4,5,5,4,5,4,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,5,5
2,2,1,2,2,4,2,3,2,3,3,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,2,3,3,3,4,3,3,3,3
2,2,3,2,2,3,4,3,4,3,4,5,5,5,5,4,4,3,4,3,3,4,3,4,4,4,4,5,5,4,4,4,4,4,5,4,5,4,4,4,4
2,2,1,1,1,3,3,4,3,4,4,4,4,4,3,4,4,5,5,5,5,4,5,4,4,5,4,5,5,5,5,4,4,4,2,5,5,5,5,4,5
1,3,4,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5,5,5,5
1,4,4,4,4,4,2,4,2,4,4,5,5,5,4,4,4,4,5,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,3,5,2,4,4,4,4
2,4,1,4,4,5,5,4,5,4,4,5,5,4,4,4,3,4,3,3,4,3,3,4,3,3,3,5,5,3,3,4,4,3,4,4,4,4,4,3,3
2,2,1,2,2,2,3,3,3,3,4,5,5,5,4,5,5,4,3,5,5,3,5,5,2,5,5,5,5,3,3,3,4,3,3,4,5,4,3,2,5
2,3,1,2,3,5,3,4,3,4,5,4,4,5,4,4,4,4,5,4,5,5,5,4,4,5,4,5,5,5,5,4,5,5,4,3,4,5,4,4,5
2,2,2,2,2,4,3,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,3,4,4,5,5,5,4,4,4,4
1,4,2,3,4,3,3,2,3,2,1,5,4,5,2,3,4,3,3,2,3,2,3,3,3,4,2,5,5,2,3,2,2,2,3,5,3,4,4,3,4
2,4,4,3,4,4,4,5,4,5,5,3,4,5,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4,4,4,3,3,5,5,5,5
1,3,1,3,3,4,4,4,4,4,2,4,4,5,2,4,4,5,4,5,4,5,4,4,4,4,2,5,5,5,4,4,4,5,3,4,4,4,3,4,4
2,6,5,4,5,3,3,4,3,4,4,4,3,3,3,3,4,3,4,5,4,4,4,3,4,4,4,4,4,4,4,3,3,4,5,3,3,4,4,4,4
2,2,2,2,2,3,5,4,5,4,4,4,5,5,5,4,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,4,4,3,3,4,3,4,4,4,4
2,2,3,2,2,5,4,4,4,4,4,5,4,4,4,3,3,3,5,3,3,4,3,3,4,4,4,5,4,2,5,4,3,4,2,5,4,4,4,4,4
2,4,1,3,4,3,4,4,4,4,4,5,3,3,5,4,4,4,5,4,4,5,4,4,4,4,5,5,4,5,5,4,5,5,4,3,4,4,5,4,4
2,2,4,1,2,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,3,4,4,5,5,3,5,4,4,4,3,4,3,5,4,3,4
2,4,1,4,4,4,5,4,5,4,4,5,5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,4,4,4
2,2,6,1,2,4,4,4,4,4,3,5,5,5,4,3,3,3,5,3,4,4,2,3,3,4,5,5,4,4,5,4,4,4,5,3,3,3,3,3,4
2,4,1,3,4,5,4,5,4,5,3,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,2,5,3,5,5,5,5
2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,5,5,3,3,3,2,1,3,3,4,3,3,3,3
1,3,2,3,3,5,3,4,3,4,4,4,2,5,5,3,3,3,5,3,3,3,3,3,4,4,4,4,5,2,5,4,5,3,4,3,2,4,4,4,4
1,3,2,3,3,5,4,4,4,4,4,5,5,5,3,3,3,3,5,3,3,3,3,3,4,4,4,4,4,2,5,4,3,3,5,4,4,4,4,4,4
1,2,4,2,2,4,3,4,3,4,4,5,5,5,2,4,4,4,5,4,4,5,4,4,4,4,5,5,4,5,5,4,5,5,4,3,4,4,5,4,4
1,3,4,3,3,4,4,5,4,5,5,5,5,5,5,5,5,4,5,4,4,3,4,5,3,4,4,4,5,3,5,4,3,3,3,5,3,5,4,3,4
2,2,6,1,1,4,5,4,5,4,4,5,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,5,4,5,2,3,3,4,4,4,4
1,3,1,3,3,3,4,4,4,4,3,5,5,5,3,3,3,3,5,3,4,4,5,3,3,4,5,4,5,4,5,4,5,4,3,5,2,3,3,3,4
2,2,2,2,2,4,4,5,4,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,2,5,5,5,5
1,2,3,1,2,2,1,3,1,3,3,5,5,4,3,3,3,3,3,3,3,3,2,3,3,3,3,5,4,3,3,3,3,3,3,4,4,3,3,3,3
2,2,2,2,2,5,3,3,3,3,4,4,4,4,2,4,4,3,4,3,3,5,3,4,4,4,4,4,5,4,4,4,4,5,2,4,2,4,4,4,4
1,2,4,2,2,5,2,4,2,4,4,5,4,4,5,4,4,5,5,5,5,5,4,4,4,5,4,5,4,5,5,4,5,5,3,4,2,5,5,4,5
1,3,4,2,3,5,4,5,4,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,3,4,5,5,5,5
1,6,1,4,5,4,4,4,4,4,4,4,4,3,5,4,4,4,5,4,4,4,3,4,4,4,4,5,4,5,5,5,5,4,5,4,4,4,4,4,4
1,2,1,2,2,4,3,4,3,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,3,3,3,5,5,3,3,4,3,3,3,4,4,4,4,3,3
2,2,3,2,2,3,2,3,2,3,4,4,3,4,4,5,5,4,3,5,5,3,5,5,2,5,5,5,5,3,3,3,2,3,5,3,5,4,3,2,5
1,2,1,1,1,5,5,4,5,4,5,5,5,5,4,4,4,4,5,4,5,4,3,4,4,5,4,5,5,5,5,4,5,4,2,4,5,5,4,4,5
1,3,4,2,3,4,4,3,4,3,3,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,3,4,3,4,3,4,3,3,4,4,4,4
1,4,4,4,4,2,2,2,2,2,3,4,3,4,2,3,4,3,3,2,3,2,4,3,3,4,2,4,5,2,3,2,4,2,3,4,2,4,4,3,4
2,4,1,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,4,5,4,4,4,5,5,5,5
2,2,1,2,2,4,3,4,3,4,2,4,4,3,4,4,4,5,4,5,4,5,5,4,4,4,2,5,5,5,4,4,4,5,3,4,5,4,3,4,4
1,3,1,2,3,4,4,4,4,4,4,4,5,4,4,3,4,3,4,5,4,4,3,3,4,4,4,5,5,4,4,3,5,4,4,4,4,4,4,4,4
2,2,2,2,2,5,2,4,2,4,4,5,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4
1,4,3,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,5,3,3,4,3,3,4,4,4,5,5,2,5,4,4,4,4,5,3,4,4,4,4
2,2,2,2,2,3,3,4,3,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,3,5,4,4,5,4,4
2,2,3,1,2,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,4,5,3,4,4,5,4,3,5,4,5,4,3,4,5,5,4,3,4
2,3,3,2,3,3,3,4,3,4,4,5,5,5,5,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,3,3,4,4,4,4
2,2,1,1,2,3,4,4,4,4,3,5,5,5,4,3,3,3,5,3,4,4,4,3,3,4,5,4,4,4,5,4,5,4,4,4,3,3,3,3,4
2,2,2,2,2,2,4,5,4,5,3,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,3,4,5,5,5,5
2,3,1,2,3,4,4,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,5,5,4,3,3,3,3
2,2,1,2,2,3,4,3,4,3,4,4,5,5,2,4,4,3,4,3,3,5,3,4,4,4,4,5,4,4,4,4,5,5,3,4,5,4,4,4,4
2,2,4,1,2,4,5,4,5,4,4,5,5,5,3,4,4,5,5,5,5,5,5,4,4,5,4,5,4,5,5,4,5,5,2,4,3,5,5,4,5
2,2,3,1,2,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,2,5,5,5,5
2,2,1,1,2,4,4,4,4,4,4,5,5,3,4,4,4,4,5,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,4,4,3,4,4,4,4
2,4,2,3,4,5,3,4,3,4,4,5,3,5,4,4,3,4,3,3,4,4,3,4,3,3,3,5,5,3,3,4,4,4,4,4,4,4,4,3,3
1,2,2,2,2,4,4,3,4,3,4,5,4,5,1,5,5,4,3,5,5,3,5,5,2,5,5,5,5,3,3,3,2,3,4,3,3,4,3,2,5
2,3,1,3,3,5,4,4,4,4,5,4,5,5,2,4,4,4,5,4,5,5,4,4,4,5,4,4,5,5,5,4,5,5,3,4,4,5,4,4,5
2,2,3,1,2,1,2,3,2,3,3,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4
2,3,1,3,3,1,1,2,1,2,1,4,5,5,1,3,4,3,3,2,3,2,2,3,3,4,2,4,4,2,3,2,1,2,3,3,4,4,4,3,4
1,3,4,2,3,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,3,2,5,5,5,5
1,2,3,1,1,4,3,4,3,4,2,3,4,4,3,4,4,5,4,5,4,5,5,4,4,4,2,5,5,5,4,4,5,5,3,5,4,4,3,4,4
1,2,3,1,1,5,5,4,5,4,4,5,4,5,5,3,4,3,4,5,4,4,4,3,4,4,4,5,4,4,4,3,3,4,3,4,4,4,4,4,4
2,4,5,4,4,5,3,4,3,4,4,4,5,5,3,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,3,4,4,3,2,4,4,4,4
2,3,4,3,3,5,5,4,5,4,4,5,5,4,5,3,3,3,5,3,3,4,4,3,4,4,4,4,4,2,5,4,4,4,3,3,3,4,4,4,4
1,2,4,2,2,3,3,4,3,4,4,5,5,5,4,4,4,4,5,4,4,4,3,4,4,4,5,4,4,5,5,4,5,4,3,3,3,4,5,4,4
2,2,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,3,4,4,4,4,3,5,4,4,5,2,3,3,5,4,3,4
1,2,2,2,2,4,3,4,3,4,4,5,5,5,4,4,5,4,4,4,5,5,5,4,4,4,4,5,4,4,4,5,4,5,2,5,3,4,4,4,4
2,2,3,1,1,2,4,4,4,4,3,4,5,4,3,3,3,3,5,3,4,3,3,3,3,4,5,5,4,4,5,4,4,3,3,4,4,3,3,3,4
2,6,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5
1,2,3,1,2,4,3,3,3,3,3,4,4,5,4,3,3,3,3,3,3,3,4,3,3,3,3,4,5,3,3,3,3,3,3,5,5,3,3,3,3
1,2,2,2,2,4,4,3,4,3,4,5,5,5,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,3,3,5,5,4,4,4,4
1,2,1,1,2,5,4,4,4,4,4,3,5,4,5,4,4,5,5,5,5,4,5,4,4,5,4,4,4,5,5,4,4,4,2,4,3,5,5,4,5
2,4,2,3,4,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,3,4,2,5,5,5,5
2,4,2,3,4,4,5,4,5,4,4,5,5,5,5,4,4,4,5,4,4,3,4,4,4,4,4,5,5,5,5,5,5,3,3,3,4,4,4,4,4
2,4,1,4,4,5,4,4,4,4,4,5,3,4,4,4,3,4,3,3,4,4,3,4,3,3,3,4,4,3,3,4,4,4,2,4,4,4,4,3,3
1,4,2,3,4,3,4,3,4,3,4,5,5,5,4,5,5,4,3,5,5,3,5,5,2,5,5,5,5,3,3,3,3,3,3,4,3,4,3,2,5
2,4,4,3,4,4,4,4,4,4,5,3,4,3,3,4,4,4,5,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,3,3,5,4,4,5
1,3,1,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,5,5,3,4,3,4,4,3,4,4,4,4,4,4
2,6,5,4,5,2,1,2,1,2,1,3,2,3,3,3,4,3,3,2,3,3,4,3,3,4,2,4,4,2,3,2,2,3,5,4,3,4,4,3,4
1,2,2,2,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,4,5,4,5,4,3,4,3,5,5,5,5
2,2,3,2,2,4,2,4,2,4,2,4,3,4,5,4,4,5,4,5,4,4,5,4,4,4,2,5,4,5,4,4,3,4,2,5,4,4,3,4,4
1,4,1,3,4,5,4,4,4,4,4,5,5,4,3,3,4,3,4,5,4,4,3,3,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,4,4
1,2,4,1,2,4,5,4,5,4,4,5,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,3,3,3,4,3,4,4,4,4
2,4,1,4,4,4,4,4,4,4,4,5,5,5,3,3,3,3,5,3,3,5,4,3,4,4,4,4,4,2,5,4,4,5,3,3,4,4,4,4,4
1,2,6,1,2,4,4,4,4,4,4,3,5,5,4,4,4,4,5,4,4,4,3,4,4,4,5,5,4,5,5,4,5,4,5,5,3,4,5,4,4
2,4,1,3,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,4,4,4,5,5,3,4,4,4,5,3,5,4,3,4,2,5,3,5,4,3,4
1,2,1,2,2,4,4,4,4,4,4,3,4,4,5,4,5,4,4,4,5,5,5,4,4,4,4,5,5,4,4,5,3,5,3,3,4,4,4,4,4
1,3,2,3,3,3,5,4,5,4,3,3,3,2,4,3,3,3,5,3,4,4,3,3,3,4,5,4,5,4,5,4,5,4,4,3,2,3,3,3,4
2,3,2,3,3,4,5,5,5,5,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5
1,2,4,2,2,1,2,3,2,3,3,5,5,5,2,3,3,3,3,3,3,2,3,3,3,3,3,5,4,3,3,3,4,2,4,4,4,3,3,3,3
1,3,4,3,3,4,3,3,3,3,4,3,4,3,5,4,4,3,4,3,3,4,3,4,4,4,4,4,5,4,4,4,5,4,3,4,3,4,4,4,4
1,2,6,1,1,5,4,4,4,4,4,5,5,5,2,4,4,5,5,5,5,5,4,4,4,5,4,5,4,5,5,4,5,5,2,4,3,5,5,4,5
1,3,1,3,3,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,2,5,5,5,5
1,2,2,2,2,3,5,4,5,4,4,3,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,2,4,4,4,4
2,2,3,1,2,4,4,4,4,4,4,5,5,5,4,4,3,4,3,3,4,3,3,4,3,3,3,5,4,3,3,4,3,3,3,5,4,4,4,3,3
2,2,2,2,2,2,3,3,3,3,4,5,5,5,4,5,5,4,3,5,5,3,4,5,2,5,5,4,5,3,3,3,2,3,2,5,2,4,3,2,5
1,2,4,2,2,3,5,4,5,4,5,5,5,5,4,4,4,4,5,4,5,5,4,4,4,5,4,5,4,5,5,4,5,5,3,5,2,5,4,4,5
1,3,4,2,3,4,5,3,5,3,3,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,4,3,3,3,3,4,4,4,4,4,4
2,6,1,4,5,1,1,2,1,2,1,5,5,5,1,3,4,3,3,2,3,2,4,3,3,4,2,5,4,2,3,2,2,2,5,4,4,4,4,3,4
1,2,1,2,2,5,4,5,4,5,5,5,4,3,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,5,4,3,4,4,5,5,5,5
